pubkey,amount
3QYqCd6HWPWjjGCs9Cm3XB2LDcisHRMLdBvAQpH5DYui,80474
7Wgz6LB4gkd7hr1hjyTur8tZSXC5sx1QYbYGQ7N2w5z7,48925
6Ao6mrtbU92qae31RCVShrjLrE3iMpA4jEACMorf35CM,30716
H5mB3XnQt6sdYvh43EUY41ANxGG7LBNScAPkYuFNQu9o,26254
8mfoVhgap8EKDSaYLqv3xoXQKAmJPGPmbVZz9h4ZS6af,22255
2QVsWpmDN49p3zu6gaG8MKeLvpGdBRcNyLMW8f6HEE9M,20091
ySoLLxJfRkecrD4wNL6NXmSw6P6fSmeR7tt1fn4Lqvw,17959
9a2nnjCpn3UboNS344Wj1KWAkFjacugjk2Z2c3fKHSU4,16784
H8ZSM8Lhv2ocwvWtMH9k7mp3amz2kbKCWvrBdFNdY9T1,15852
2cS7tZxRBhqcx3ncxmSGqCWuPnAqEbQpAqNEaVU1yRBo,15744
FPFQVVbb2qqVqgvACFsd3spmUm22SXpJ1V8aq19u3pcM,15491
4EK6KCowZvsinsb7bbmx1fPJfjuDzyjkQuXVMSR5Vb7u,13923
67jkPGKSmbFFNvsHC5UuPwqJwkZ3VJMArj317vLzKqDJ,13783
7dRpe1W12UX4j83Yj4orK3m5fiwVwh7oBmhqgwV9rzBp,12914
Gnc6gK8YkxATeGYGzFxbv2G5SdqXMSuuGs1AHmoHQdkz,12907
BK1W2fphfja4TcZE7D58mzh9vuRUVbxNcFQXS7vzgWih,11923
Hkg99Cz41FkvGKK2RSWfFgFbZUi8xhPjJyDMFZkNVVx8,11356
CdRTkJHwinqec3chMn3MD1RMmfbqHjPSg8AV3yqyXdiw,11054
B7mZ6Rim8tzhJhpd271oBzwnVxVzmJUebxeSREdwPuce,10922
6oMCJfqWUdgTMSuPkPQuUVSUZZwxjiBJcf3uDw8LZzRE,10105
7wB3Q49veHMwiLzx6okHdqGtSZqLyvAfJBftVNV4Du4k,9851
A3ECFC6kN8Jd6pY4YVW2wbSX6E1QCi3nyF2ao1JVcAKB,9142
DFNJLSaHLJXmFR9KXjxfxT727PNBcAcVrt55YaSKAV45,9033
5WdaiasPs86NgtJQkffiW7FqBXg1KgNd3e3zmXUg5DRk,8972
GPEKrnrag688Pgif7wJt6UB6RqkpUmZDuF8u5rsgNwUN,8278
GCtG7fCUKZ4kE8ehpeprkfyCNg8MUnsr9k1mknUx8FVw,8212
GpGFAkigFPG6cbPUobccKAVVD9BDHNpGd38yAuQh7N7o,8168
D3Uq3NZrTxd1n5rTwvt5vcj8iC9nCUeTCHHjbjxcuMpR,8021
FdyPk8GaCaFaezjzum4hYhWohhh7exE2MZXSHBrws5Vu,7450
6QvvZKGEHxyTKgkHQpfpJXPAgWUAzefXVHYPBFrJGPYP,7421
HuiGCHbb1rgGNn4t3bv48Ch7pMWBTHoiSDWWybYhvuXG,7398
CrrbWXE6AGk12TPWZgdUzPPFEK66nMdhnreLfY7VaD5d,6756
Hp8tdMtA2GesG8Duym2bc2GeQ8iDuvopPFg7eG2Wwjj1,6555
8DNCyg6MgqXW5mqAeCDsjRxULAs4sLAtGBLfEUYWsMxT,6491
93ccg27u1tHK1FzqoyRtaUVh3kRwbvYNJcz4NbWWSt1P,6450
MZxZcLo94RFYDiJAEHYYEWA5ezmrphyAqj4oQHJ6ppw,6151
A9A3iqk34KkkpEHmBkyXkxYLcHyGqsua1YiywMjMRzLS,6081
4nSdepHmmY5a5FsMDb8ABPsqm57V4uaY877RJYH5zTUx,6002
B2VdH9Xqfu2EPjmYfYMuNU4i4e5Q7PBFBUn8htSGqgd,5980
AVTRkKUSikzoMcSWSTkh4hM8jHKLjfBfzFfcsCodYAn4,5743
DHVZfycL8WYxjKkXjFoe2YAMZAdVHDSTNmW4WhSD4YhK,5667
JARDTp1s5HDNUY4yZsmxEyoVm9JCsjxUWMBg3jYRs9HK,5530
6UWokqQxV4mcK7DeggjQGYMvLJ5HY6zH8AM1Bj6axPGw,5473
4tDecXCRBh3zvG5q9UTBFobhep2NEjT29noveUwtG9qP,5322
aGhLX8kiZ2sWbcdpqwbGMHL1PLBY8Xe3srCFv8aoFbv,4996
8C34ScwuhZyjgkDobbj2K44T923QX8iNhhs5vXtJgdBd,4977
runpZTPawgvyKcUkbZrgGj9uPjBkzL5VGMzpS9L58TC,4916
6S4p3JBW49Lhc4ZxQBV7eeR6ZoB3dCYeheBEmSKbXJwq,4902
2PS94D76WNetGuEP38AxX391WPwJR3Zn9DLinpaGmVDD,4896
5J9BeWAZGekH71Huiro2qW6AJXSeBj7zPsHniKkmjToY,4847
FusWj66KtyfdtbY5CE65V9BgzUxX73UBon5cdUXBKQ76,4790
AV3oo27Yi6JtnGEvduanu6SeTWixsW9Tk2MJqtYtnXuM,4767
HjKUmhNRPgLawMZDjdV1KrZu8uVABSJTJsWhhF41Ygfg,4741
7SvHssdxAiswtGdUqDhqWhJCeP4DxeNL7Q15HfmTv2r7,4705
Aj52zEjm3if7eyuFxtfUbNDfzhzgiZ9Zobk9xJmaVq8L,4676
Ed2gfcPxLbgSmWt6PwFCFoFVGZDUUd66TkJ7j4iBaX6R,4670
5DntVHESMMMMbWzXx5e1rr9NevnYiSFD4JoqXnu1DHWZ,4658
7woFekwSQ4txRTegnTN57NvnBLLdjLjDBFbwHdd6YnDK,4652
58tttsKT6Rk6oXeqD6M2Z9vpqEbzWA6vcFshSNCJmjaP,4579
c1oakNr6Fdnk1UDxPrad17JoHFqtyGXbHYSQYx476HW,4548
DVtPTMGQVnxoBgqMmh94aF76VDYMGuzrmXYTAaLjnqbt,4427
AJ8xQpGs6GHFvDZ5iv3ByAcwE93442WhwWuARMCaywv6,4398
AieQtBfYMZzb1mGFj1p2vXXmVD12T6Q57qzrdPCQmsBz,4369
BXd28JqznyUBnN8ExU6nXkRcmkPRe1ofAsBFrhZCRZHm,4347
AMCgEkcq97xH6cdZqBVJJpZxLtXdd9Z1MSRB8kcXBV7F,4282
3ZjikNwkxeqTZ1cJd73VWK2jkwgJAL3165aVdFgzUoyi,4266
7AL2cFK4dKUNHs9ZnkuDs8i4UcQxYXbstEFQcPmmtf56,4244
BbSbfX9wJgj2a8uNeMqDN7DaV7HAK6fYAuYUGobXxhG3,4181
HpwjZ74eSPWLHsLSFEDFWUELLmZ4DNsQfyp7335md1Hc,4130
DZVJiLoivwSSNah5cSbH1Mo78W3oUL1bRMsDZsy7AcH9,4122
3n1KCZwki4sPBXBFTXF3t1eSDWGL9UuM5xjxJXvfcfow,4113
4TQ9z8MYzUt4gAX4u2YXDHbXvqbRR9nuaFGaANK7SvtB,4075
AHLQSeswjbL7jgF6u8VKcM7NB1VTK3N4TLvFR7GRLRMS,4067
DRky4ahiHbDj7XsZULUhSxPTM9V7VcFfNZfF7VJsEqXi,4056
3UvpWjjvXso8P8wuaeVBBRqQvuvarZgvzBqe3S9FH5xW,4037
CfdsYYnM1eqS1Ei2ppH1LA5q8yfRTE4KAmJJUU4kYeEz,4036
83t7XK8R93WaBKvi3iwxuwR6NAWUgc6wy7EAiZJdGpPo,4005
25FLP16SRa4iGHrGoWzXqPazMJoaLEZtFrKhXwTiRqAY,3997
HAMDBXwEmmKT1an6FwjARmY45QrB59v5ipFrtcTDQFCM,3898
8nfMk3wJGcKMB7yYSjnzfHSR9AemeDhaF5hveP3U51a6,3862
9ZLfHwxzgbZi3eiK43duZVJ2nXft3mtkRMjs9YD5Yds2,3798
5M6bBKoXxMjVozzF7bFRpYo47PAQjSrhu9gnsXWz6wt3,3756
CmbwG6X9t49TbkpRbPsHzKEcNdVSjMMYE3jjoRV8JErP,3632
DuEZ4gF6oEwNgc9UM8gP9t5RK1WDQAk5tECmRd9rdb1M,3621
66Xz459nAxyrjRa9xQXnhr5kNsDxX8MPg3syeXFk3K5j,3553
FD34A7rMfBXeqoWKrz8ES3Czys83CNUv7pZgdr6SWyid,3537
5hwJtfuFAVJMsVGkgk5k7UYh9o2hz1gDAtjXFKcpenGn,3485
9p2K1xpb6iQppdA7JuCNpjaU41gvuN8yCsoBrb58EUC6,3480
GaQBo9XGXEqL3czhMjJtwRmL2okmNnWcTWdSsHm6MfkU,3475
4hYLtwPyNbgZ3hnT8oYwQMYmrueqAeb9hedTxsuLVfqA,3438
5bkeZrkhLYdhFgeU9nZXCxnEnMXgPp1p5KfU2mQfgE3h,3418
D2wko4M68sNgKK82UJkT2eA6U6YMHjsrWPHwCpgDEufU,3405
D84yS9etezLCWShzhvep8DGMhBP4djgc9CBFQvfEjd5y,3402
5AsKgxeYRaHRcZivZDXoCK6PmVCbc7Nnc4LURpBV7tPv,3329
9LHVXpgKQKvApb5v4VJZMBYaTJ3AbzRFTgRH8nmjjzJq,3298
ED3N1JiRmXdqgtHP6GoZraECRDV6Az3diZAsthic5KVJ,3272
8SKisd77dkXDxbHmhQbrkp6mjnKcwL5hYPqh9Yr8isvh,3270
DNBsTnpUVTvWnwGQ9jMXUtNa7uVtv41fq9CoRDp9h13r,3209
3YMqK9K5RtBMHUntwbWA92GV5Vj6DHx2cy5PGLE4gYjA,3201
FotFcJG4GfBdqYUqzcsDLT8u68tF3EWMH6JXSwvqYWe6,3175
6Ys7UEFwYtgFpHjU24vUyBdjf77wpvCtLiZYdAeKGCwU,3117
